Job Title,Field,Level,Required Skills
Data Analyst,Data,Entry,"Excel, SQL, Python, Data Visualization"
Business Analyst,Business,Entry,"Excel, Communication, Power BI, Analysis"
Web Develober,Software,Entry,"HTML, CSS, JavaScript"
Backend Develober,Software,Mid,"Python, APIs, Databases"
Mobile App Develober ,Software,Mid,"Java, Kotlin, Problem Solving"
Machine Learning Engineer,AI,Mid,"Python, Machine Learning, Statistics"
AI Engineer,AI,Advanced,"Deep Learning, Python, Neural Networks"
Cyber Security Analyst,Security,Entry,"Networking, Linux, Security Basics"
UI/UX Designer,Design,Entry,"Figma, Creativity, User Research"
Data Scientist,Data,Advanced,"Python, Machine Learning, Statistics, SQL"